
^ Ordinal ^ Name ^ Description ^ Status ^^^ Version ^
^   :::   ^  ::: ^  :::        ^ Real ^ Std ^ Enh ^ ::: ^
| 0 | GDI | Graphics Device Interface | | | |
| 1 | [[en:docs:win16:api:gdi:|SETBKCOLOR]] | Sets the current background color | | | |
| 2 | [[en:docs:win16:api:gdi:|SETBKMODE]] | Sets the background mix mode | | | |
| 3 | [[en:docs:win16:api:gdi:|SETMAPMODE]] | Sets the mapping mode | | | |
| 4 | [[en:docs:win16:api:gdi:|SETROP2]] | Sets the foreground mix mode | | | |
| 6 | [[en:docs:win16:api:gdi:|SETPOLYFILLMODE]] | Sets the polygon filling mode | | | |
| 7 | [[en:docs:win16:api:gdi:|SETSTRETCHBLTMODE]] | Sets the bitmap stretching mode | | | |
| 8 | [[en:docs:win16:api:gdi:|SETTEXTCHARACTEREXTRA]] | Sets intercharacter spacing | | | |
| 9 | [[en:docs:win16:api:gdi:|SETTEXTCOLOR]] | Sets the text color | | | |
| 10 | [[en:docs:win16:api:gdi:|SETTEXTJUSTIFICATION]] | Sets text justification parameters | | | |
| 11 | [[en:docs:win16:api:gdi:|SETWINDOWORG]] | Sets the window origin | | | |
| 12 | [[en:docs:win16:api:gdi:|SETWINDOWEXT]] | Sets the window extents | | | |
| 13 | [[en:docs:win16:api:gdi:|SETVIEWPORTORG]] | Sets the viewport origin | | | |
| 14 | [[en:docs:win16:api:gdi:|SETVIEWPORTEXT]] | Sets the viewport extents | | | |
| 15 | [[en:docs:win16:api:gdi:|OFFSETWINDOWORG]] | Moves the window origin | | | |
| 16 | [[en:docs:win16:api:gdi:|SCALEWINDOWEXT]] | Scales the window extents | | | |
| 17 | [[en:docs:win16:api:gdi:|OFFSETVIEWPORTORG]] | Moves the viewport origin | | | |
| 18 | [[en:docs:win16:api:gdi:|SCALEVIEWPORTEXT]] | Scales the viewport extents | | | |
| 19 | [[en:docs:win16:api:gdi:|LINETO]] | Draws a line from current position to specified point | | | |
| 20 | [[en:docs:win16:api:gdi:|MOVETO]] | Moves the current position | | | |
| 21 | [[en:docs:win16:api:gdi:|EXCLUDECLIPRECT]] | Excludes a rectangle from the clipping region | | | |
| 22 | [[en:docs:win16:api:gdi:|INTERSECTCLIPRECT]] | Intersects a rectangle with the clipping region | | | |
| 23 | [[en:docs:win16:api:gdi:|ARC]] | Draws an elliptical arc | | | |
| 24 | [[en:docs:win16:api:gdi:|ELLIPSE]] | Draws an ellipse | | | |
| 25 | [[en:docs:win16:api:gdi:|FLOODFILL]] | Fills an area with the current brush | | | |
| 26 | [[en:docs:win16:api:gdi:|PIE]] | Draws a pie-shaped wedge | | | |
| 27 | [[en:docs:win16:api:gdi:|RECTANGLE]] | Draws a rectangle | | | |
| 28 | [[en:docs:win16:api:gdi:|ROUNDRECT]] | Draws a rectangle with rounded corners | | | |
| 29 | [[en:docs:win16:api:gdi:|PATBLT]] | Performs a pattern bit-block transfer | | | |
| 30 | [[en:docs:win16:api:gdi:|SAVEDC]] | Saves the device context state | | | |
| 31 | [[en:docs:win16:api:gdi:|SETPIXEL]] | Sets a pixel to the specified color | | | |
| 32 | [[en:docs:win16:api:gdi:|OFFSETCLIPRGN]] | Moves the clipping region | | | |
| 33 | [[en:docs:win16:api:gdi:|TEXTOUT]] | Outputs a character string | | | |
| 34 | [[en:docs:win16:api:gdi:|BITBLT]] | Performs a bit-block transfer | | | |
| 35 | [[en:docs:win16:api:gdi:|STRETCHBLT]] | Performs a stretched bit-block transfer | | | |
| 36 | [[en:docs:win16:api:gdi:|POLYGON]] | Draws a polygon | | | |
| 37 | [[en:docs:win16:api:gdi:|POLYLINE]] | Draws a series of line segments | | | |
| 38 | [[en:docs:win16:api:gdi:|ESCAPE]] | Accesses device-specific functions | | | |
| 39 | [[en:docs:win16:api:gdi:|RESTOREDC]] | Restores the device context state | | | |
| 40 | [[en:docs:win16:api:gdi:|FILLRGN]] | Fills a region with a brush | | | |
| 41 | [[en:docs:win16:api:gdi:|FRAMERGN]] | Draws a border around a region | | | |
| 42 | [[en:docs:win16:api:gdi:|INVERTRGN]] | Inverts the colors in a region | | | |
| 43 | [[en:docs:win16:api:gdi:|PAINTRGN]] | Paints a region with a brush | | | |
| 44 | [[en:docs:win16:api:gdi:|SELECTCLIPRGN]] | Selects a region as the clipping region | | | |
| 45 | [[en:docs:win16:api:gdi:|SELECTOBJECT]] | Selects an object into the device context | | | |
| 47 | [[en:docs:win16:api:gdi:|COMBINERGN]] | Combines two regions | | | |
| 48 | [[en:docs:win16:api:gdi:|CREATEBITMAP]] | Creates a bitmap | | | |
| 49 | [[en:docs:win16:api:gdi:|CREATEBITMAPINDIRECT]] | Creates a bitmap from a structure | | | |
| 50 | [[en:docs:win16:api:gdi:|CREATEBRUSHINDIRECT]] | Creates a brush from a structure | | | |
| 51 | [[en:docs:win16:api:gdi:|CREATECOMPATIBLEBITMAP]] | Creates a compatible bitmap | | | |
| 52 | [[en:docs:win16:api:gdi:|CREATECOMPATIBLEDC]] | Creates a memory device context | | | |
| 54 | [[en:docs:win16:api:gdi:|CREATEDC]] | Creates a device context | | | |
| 55 | [[en:docs:win16:api:gdi:|CREATEELLIPTICRGN]] | Creates an elliptical region | | | |
| 56 | [[en:docs:win16:api:gdi:|CREATEELLIPTICRGNINDIRECT]] | Creates an elliptical region from a rectangle | | | |
| 57 | [[en:docs:win16:api:gdi:|CREATEFONT]] | Creates a logical font | | | |
| 58 | [[en:docs:win16:api:gdi:|CREATEFONTINDIRECT]] | Creates a font from a structure | | | |
| 59 | [[en:docs:win16:api:gdi:|CREATEHATCHBRUSH]] | Creates a hatched brush | | | |
| 60 | [[en:docs:win16:api:gdi:|CREATEPATTERNBRUSH]] | Creates a pattern brush | | | |
| 61 | [[en:docs:win16:api:gdi:|CREATEPEN]] | Creates a logical pen | | | |
| 62 | [[en:docs:win16:api:gdi:|CREATEPENINDIRECT]] | Creates a pen from a structure | | | |
| 63 | [[en:docs:win16:api:gdi:|CREATEPOLYGONRGN]] | Creates a polygonal region | | | |
| 64 | [[en:docs:win16:api:gdi:|CREATERECTRGN]] | Creates a rectangular region | | | |
| 65 | [[en:docs:win16:api:gdi:|CREATERECTRGNINDIRECT]] | Creates a rectangular region from a rectangle | | | |
| 66 | [[en:docs:win16:api:gdi:|CREATESOLIDBRUSH]] | Creates a solid brush | | | |
| 67 | [[en:docs:win16:api:gdi:|DPTOLP]] | Converts device points to logical points | | | |
| 68 | [[en:docs:win16:api:gdi:|DELETEDC]] | Deletes a device context | | | |
| 69 | [[en:docs:win16:api:gdi:|DELETEOBJECT]] | Deletes a GDI object | | | |
| 70 | [[en:docs:win16:api:gdi:|ENUMFONTS]] | Enumerates available fonts | | | |
| 71 | [[en:docs:win16:api:gdi:|ENUMOBJECTS]] | Enumerates GDI objects | | | |
| 72 | [[en:docs:win16:api:gdi:|EQUALRGN]] | Checks if two regions are equal | | | |
| 74 | [[en:docs:win16:api:gdi:|GETBITMAPBITS]] | Retrieves bitmap bits | | | |
| 75 | [[en:docs:win16:api:gdi:|GETBKCOLOR]] | Retrieves the background color | | | |
| 76 | [[en:docs:win16:api:gdi:|GETBKMODE]] | Retrieves the background mix mode | | | |
| 77 | [[en:docs:win16:api:gdi:|GETCLIPBOX]] | Retrieves the clipping bounding box | | | |
| 78 | [[en:docs:win16:api:gdi:|GETCURRENTPOSITION]] | Retrieves the current position | | | |
| 79 | [[en:docs:win16:api:gdi:|GETDCORG]] | Retrieves the device context origin | | | |
| 80 | [[en:docs:win16:api:gdi:|GETDEVICECAPS]] | Retrieves device capabilities | | | |
| 81 | [[en:docs:win16:api:gdi:|GETMAPMODE]] | Retrieves the mapping mode | | | |
| 82 | [[en:docs:win16:api:gdi:|GETOBJECT]] | Retrieves information about a GDI object | | | |
| 83 | [[en:docs:win16:api:gdi:|GETPIXEL]] | Retrieves the color of a pixel | | | |
| 84 | [[en:docs:win16:api:gdi:|GETPOLYFILLMODE]] | Retrieves the polygon filling mode | | | |
| 85 | [[en:docs:win16:api:gdi:|GETROP2]] | Retrieves the foreground mix mode | | | |
| 86 | [[en:docs:win16:api:gdi:|GETRELABS]] | Converts relative coordinates to absolute | | | |
| 87 | [[en:docs:win16:api:gdi:|GETSTOCKOBJECT]] | Retrieves a stock GDI object | | | |
| 88 | [[en:docs:win16:api:gdi:|GETSTRETCHBLTMODE]] | Retrieves the bitmap stretching mode | | | |
| 89 | [[en:docs:win16:api:gdi:|GETTEXTCHARACTEREXTRA]] | Retrieves intercharacter spacing | | | |
| 90 | [[en:docs:win16:api:gdi:|GETTEXTCOLOR]] | Retrieves the text color | | | |
| 91 | [[en:docs:win16:api:gdi:|GETTEXTEXTENT]] | Computes text dimensions | | | |
| 92 | [[en:docs:win16:api:gdi:|GETTEXTFACE]] | Retrieves the typeface name | | | |
